Unnamed: 0,subject,date,region,eid,fiber,added,BNC ,path
430,ZFM-03450,2022-01-05,Region1G,9f41ef3e-f0cd-4e9a-a1af-4c6fa3f85b8a,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2022-01-05/001/raw_photometry_data/raw_photometry.csv
529,ZFM-03448,2022-01-05,Region1G,a66fee66-c95f-44e3-90bc-ebf383708e83,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2022-01-05/002/raw_photometry_data/raw_photometry.csv
577,ZFM-03059,2022-01-05,Region7G,e69d63c9-a62e-48b2-9773-b137667e46e7,probe01,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-01-05/001/raw_photometry_data/raw_photometry.csv
782,ZFM-03450,2022-01-05,Region7G,9f41ef3e-f0cd-4e9a-a1af-4c6fa3f85b8a,,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03450/2022-01-05/001/raw_photometry_data/raw_photometry.csv
836,ZFM-03059,2022-01-05,Region4G,e69d63c9-a62e-48b2-9773-b137667e46e7,probe01,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-01-05/001/raw_photometry_data/raw_photometry.csv
548,ZFM-03447,2022-01-06,Region4G,9d696886-6c84-441e-9150-54d860dc102c,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2022-01-06/002/raw_photometry_data/raw_photometry.csv
764,ZFM-03448,2022-01-06,Region1G,2760105b-ab70-4dfb-aac6-b35f1233a1c8,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2022-01-06/001/raw_photometry_data/raw_photometry.csv
338,ZFM-03059,2022-01-07,Region4G,3fe8ad3b-2437-4b1f-b6d4-9706c206ab2d,probe01,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2022-01-07/001/raw_photometry_data/raw_photometry.csv
638,ZFM-03448,2022-01-07,Region1G,71be340e-14fa-4cc1-9abb-388de75b6488,probe07,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03448/2022-01-07/001/raw_photometry_data/raw_photometry.csv
741,ZFM-03447,2022-01-07,Region4G,aec11c59-abe3-4b95-a8d8-0a1bc9a5a0bb,probe06,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03447/2022-01-07/001/raw_photometry_data/raw_photometry.csv
